COD_NODO_IRI;LIVELLO;LEMMA_NODO_IT;LEMMA_NODO_EN;COLLEG_MAPPA_CLAIST_SINT;COLLE_CLASS_TITOLI;DEFINIZIONE_IT;DESCRIZIONE_IT;ALT_LAB_IT;DEFINIZIONE_EN;ALT_LAB_EN;NOTE
CPS_27;1;Corso serale per adulti - Generalista;Evening course for adults - Generalist;317.01;CTS_3_20_10;Percorsi di istruzione secondaria di secondo grado attivati in orario serale presso istituzioni scolastiche statali, istituti tecnici, professionali, e d'arte e, assai più raramente, licei, rivolti ad adulti e lavoratori che intendono conseguire il diploma di istruzione secondaria superiore (maturità). Questi corsi si caratterizzano per una struttura flessibile e modulare, tendenzialmente ridotta a livello di durata rispetto ai 5 anni dei corsi tradizionali, adattata alle esigenze formative e lavorative dell’utenza adulta, e offrono un curricolo generalista, non vincolato a indirizzi specialistici o professionalizzanti. Possono accedervi persone che hanno interrotto gli studi, cittadini stranieri, lavoratori, e soggetti in percorso di riqualificazione. Prevedono il rilascio del diploma di maturità previo superamento dell’esame di Stato conclusivo, con valore legale omologo a quello dei percorsi diurni. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 7, Ordinanza del Ministro della pubblica istruzione 29 luglio 1997, n. 455 ""Educazione in età adulta. Istruzione e formazione"";
Decreto del Presidente della Repubblica 8 marzo 1999, n. 275 ""Regolamento recante norme in materia di autonomia delle istituzioni scolastiche, ai sensi dell'art. 21 della legge 15 marzo 1997, n. 59"" (c.d. riforma Bassanini);
Decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_28;1;Corso serale per adulti - Istituto d'arte;Evening course for adults - Art institute;318.01;CTS_3_20_10;Percorso di istruzione secondaria di secondo grado attivato in orario serale presso Istituti d’Arte statali o paritari, rivolto ad adulti e lavoratori che intendono conseguire il diploma di maturità d’arte applicata o completare la propria formazione artistica, secondo il modello del vecchio ordinamento scolastico. Il corso, nella maggior parte dei casi, rientra nell’ambito della sperimentazione didattica e dell’autonomia scolastica (d.p.r. 275/1999), per favorire il rientro in formazione di soggetti adulti. Il percorso riprende i contenuti e le finalità degli Istituti d’Arte tradizionali, con particolare attenzione all’addestramento alla produzione artistica e artigianale, si caratterizza per una struttura flessibile e modulare, tendenzialmente ridotta a livello di durata rispetto ai 5 anni dei corsi diurni, e si conclude con l’esame di Stato, che consente il rilascio di un titolo di studio legalmente riconosciuto, omologo a quello dei corsi tradizionali. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 7, Ordinanza del Ministro della pubblica istruzione 29 luglio 1997, n. 455 ""Educazione in età adulta. Istruzione e formazione"";
Decreto del Presidente della Repubblica 8 marzo 1999, n. 275 ""Regolamento recante norme in materia di autonomia delle istituzioni scolastiche, ai sensi dell'art. 21 della legge 15 marzo 1997, n. 59"" (c.d. riforma Bassanini);
Decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_29;1;Corso serale per adulti - Istituto tecnico;Evening course for adults - Technical institute;319.01;CTS_3_20_10;Percorso di istruzione secondaria di secondo grado attivato in orario serale presso istituti tecnici statali o paritari, rivolto ad adulti e lavoratori che intendono conseguire il diploma di istruzione tecnica secondo il modello del vecchio ordinamento scolastico. Il corso, nella maggior parte dei casi, rientra nell’ambito della sperimentazione didattica e dell’autonomia scolastica (d.p.r. 275/1999), per favorire il rientro in formazione di soggetti adulti. Il percorso riprende i contenuti e le finalità degli istituti tecnici tradizionali, con particolare attenzione alla formazione tecnico-professionale, si caratterizza per una struttura flessibile e modulare, tendenzialmente ridotta a livello di durata rispetto ai 5 anni dei corsi diurni, e si conclude con l’esame di Stato, che consente il rilascio di un titolo di studio legalmente riconosciuto, omologo a quello dei corsi tradizionali. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 7, Ordinanza del Ministro della pubblica istruzione 29 luglio 1997, n. 455 ""Educazione in età adulta. Istruzione e formazione"";
Decreto del Presidente della Repubblica 8 marzo 1999, n. 275 ""Regolamento recante norme in materia di autonomia delle istituzioni scolastiche, ai sensi dell'art. 21 della legge 15 marzo 1997, n. 59"" (c.d. riforma Bassanini);
Decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_30;1;Corso serale per adulti - Istituto professionale;Evening course for adults - Vocational institute;320.01;CTS_3_20_10;Percorso di istruzione secondaria di secondo grado attivato in orario serale presso istituti professionali statali o paritari, rivolto ad adulti, lavoratori e soggetti in riqualificazione che intendono conseguire il diploma di istruzione professionale secondo il modello del vecchio ordinamento scolastico. Il corso, nella maggior parte dei casi, rientra nell’ambito della sperimentazione didattica e dell’autonomia scolastica (d.p.r. 275/1999), per favorire il rientro in formazione di soggetti adulti. Il percorso riprende i contenuti e le finalità degli istituti professionali tradizionali, con particolare attenzione alla formazione tecnico-pratica e all’inserimento nel mondo del lavoro, si caratterizza per una struttura flessibile e modulare, tendenzialmente ridotta a livello di durata rispetto ai 5 anni dei corsi diurni, e si conclude con l’esame di Stato, che consente il rilascio di un titolo di studio legalmente riconosciuto, omologo a quello dei corsi tradizionali. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 7, Ordinanza del Ministro della pubblica istruzione 29 luglio 1997, n. 455 ""Educazione in età adulta. Istruzione e formazione"";
Decreto del Presidente della Repubblica 8 marzo 1999, n. 275 ""Regolamento recante norme in materia di autonomia delle istituzioni scolastiche, ai sensi dell'art. 21 della legge 15 marzo 1997, n. 59"" (c.d. riforma Bassanini);
Decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_31;1;Percorso di istruzione di 2° livello per adulti - liceo artistico;Second-level education programme for adults (Provincial Centre for Adult Education) - art high school;321.01;CTS_3_20_10;"Percorso di istruzione omologo nella didattica a quello del liceo artistico (d.p.r. 89/2010) e rivolto principalmente ad adulti e giovani lavoratori in possesso del titolo conclusivo del primo ciclo di istruzione che, per motivi personali o professionali, non possono frequentare la scuola durante il giorno. Si svolge in orario serale ed è organizzato in moduli e periodi didattici flessibili, con un monte ore corrispondente al 70% dei corsi diurni e con una durata complessiva tendenzialmente di 3 anni, per adattarsi alle esigenze degli studenti. Prevede il riconoscimento di crediti formativi per competenze già acquisite (formali, non formali e informali). È finalizzato al conseguimento di titoli di studio equivalenti a quelli dei corsi diurni. I destinatari sono: 
- adulti che vogliono completare il proprio percorso scolastico; 
- persone già inserite nel mondo del lavoro che desiderano riqualificarsi; 
- studenti che hanno interrotto gli studi e vogliono riprendere o che non posso seguire i corsi diurni; 
- cittadini stranieri in possesso del titolo di studio del primo ciclo.";"Artt. 3 e 4, decreto del Presidente della Repubblica 29 ottobre 2012, n. 263 ""Regolamento recante norme generali per la ridefinizione dell'assetto organizzativo didattico dei Centri d'istruzione per gli adulti, ivi compresi i corsi serali, a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini);
Decreto del Ministro dell'istruzione, dell'università e della ricerca, di concerto con il Ministro dell'economia e delle finanze 12 marzo 2015 ""Linee guida per il passaggio al nuovo ordinamento a sostegno dell’autonomia organizzativa e didattica dei Centri provinciali per l’istruzione degli adulti"";
Decreto del Presidente della Repubblica 15 marzo 2010, n. 89 ""Regolamento recante revisione dell'assetto ordinamentale, organizzativo e didattico dei licei a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini).";;;;
CPS_55;1;Corso di master universitario di 2° livello;Second-level university master's degree course;704.01;CTS_7_30_10;Percorso di formazione avanzata successivo al conseguimento della Laurea magistrale, attivato dalle università italiane ai sensi del d.m. 509/1999 e del d.m. 270/2004, rivolto a chi è in possesso di una laurea magistrale (biennale o a ciclo unico) o di un titolo equivalente riconosciuto. Il corso, solitamente con accesso a numero chiuso tramite una procedura di selezione, ha una durata minima di un anno e prevede l’acquisizione di almeno 60 crediti formativi universitari (CFU), attraverso un programma didattico articolato in lezioni frontali, laboratori, project work, tirocini e prova finale. Il master universitario di 2° livello è finalizzato allo sviluppo di competenze specialistiche e professionalizzanti in ambiti disciplinari specifici, con l’obiettivo di favorire l’inserimento qualificato nel mondo del lavoro, l’aggiornamento professionale e l’accesso a ruoli dirigenziali o altamente tecnici. Il titolo rilasciato è legalmente riconosciuto, ma non rientra nell’ordinamento didattico nazionale.;"Art. 3, co. 9, decreto del Ministro dell'istruzione, dell'università e della ricerca 22 ottobre 2004, n. 270 ""Modifiche al regolamento recante norme concernenti l'autonomia didattica degli atenei, approvato con decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509"";
Decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509 ""Regolamento recante norme concernenti l’autonomia didattica degli atenei"";
Nota del Ministero dell'università e della ricerca 1° febbraio 2023,  n. 1801 ""Indicazioni operative per l’approvazione di nuovi corsi di diploma accademico di primo e secondo livello e m aster e le modifiche degli stessi - A.A. 2023-2024"";
Nota del Ministero dell'istruzione, dell'università e della ricerca 9 dicembre 2010, n. 7631 ""Regolamento tipo concernente principi e criteri per la progettazione di master da parte delle Istituzioni AFAM"".";;;;
CPS_56;1;Corso di master accademico di 2° livello AFAM;Second-level academic master's AFAM course;709.01;CTS_7_30_20;Percorso formativo avanzato successivo al conseguimento del Diploma accademico di 2° livello attivato dalle Istituzioni dell’alta formazione artistica, musicale e coreutica (AFAM), finalizzato all’acquisizione di competenze professionali, artistiche e culturali di elevata specializzazione. Tale percorso, solitamente con accesso a numero chiuso tramite una procedura di selezione, risponde a esigenze di aggiornamento, riqualificazione professionale e alta formazione permanente e ricorrente, e si colloca al di fuori dei cicli ordinamentali previsti dalla legge 508/1999. Il corso di master accademico di 2° livello AFAM è accessibile a chi è in possesso di un diploma accademico di 2° livello AFAM di un titolo equivalente riconosciuto, e si conclude con il rilascio del diploma di Master accademico di 2° livello AFAM, che certifica il percorso svolto e le competenze acquisite. Il corso ha di norma durata annuale.;"Art. 3, co. 7, decreto del Presidente della Repubblica 8 luglio 2005, n. 212 ""Regolamento recante disciplina per la definizione degli ordinamenti didattici delle Istituzioni di alta formazione artistica, musicale e coreutica, a norma dell'articolo 2 della legge 21 dicembre 1999, n. 508"";
Decreto del Presidente della Repubblica  24 aprile 2024, n. 82 ""Regolamento concernente modifiche al regolamento recante disciplina per la definizione degli ordinamenti didattici delle Istituzioni di alta formazione artistica, musicale e coreutica, a norma dell'articolo 2 della legge 21 dicembre 1999, n. 508, adottato con decreto del Presidente della Repubblica 8 luglio 2005, n. 212"".";;;;
CPS_57;1;Scuola di specializzazione - area medica/sanitaria;Specialisation School – Medical/Healthcare Area;"710.01; 710.02; 710.03";CTS_7_40_10;"Percorso di formazione post-laurea di area medico-sanitaria, attivato dalle università ai sensi del d.p.r. 162/1982 e del d.lgs. 368/1999, finalizzato a fornire allo specializzando conoscenze e abilità professionali per l'esercizio di funzioni specialistiche di alta qualificazione nel settore sanitario. ll percorso, inizialmente previsto con una durata variabile tra 5 e 6 anni, è stato successivamente rimodulato in 3, 4 o 5 anni dal d.m. 4 febbraio 2015, a seconda del settore disciplinare, e si articola in lezioni teoriche, attività pratiche, tirocini e una prova finale. Le aree di riferimento sono attualmente articolate in tre tipologie di scuole:
1.	Area medica;
2.	Area chirurgica;
3.	Area dei servizi clinici (divisi in: servizi diagnostici e terapeutici; servizi organizzativi e della sanità pubblica).
L’accesso è riservato a chi ha conseguito una laurea magistrale in medicina e chirurgia o un titolo equivalente riconosciuto, ed è subordinato al superamento di un concorso pubblico nazionale con graduatoria di merito. A differenza di altri percorsi, lo specializzando medico stipula un contratto annuale di formazione-specialistica che implica un impegno a tempo pieno analogo al personale del Servizio Sanitario Nazionale, operando all'interno di una rete formativa accreditata. Per la scuola di specializzazione il d.m. 509/1999 prevede il sistema dei crediti, il titolo rilasciato è il diploma di specializzazione, corredato dal supplemento al diploma europass, una certificazione dell'intero percorso formativo svolto, che attesta le attività elettive scelte dallo specialista ed è requisito necessario per l'esercizio dell'attività professionale e per l'accesso alla carriera dirigenziale nel Servizio Sanitario Nazionale.";"Generica:
Artt. 3, 6-7, decreto del Ministro dell’istruzione, dell’università e della ricerca 22 ottobre 2004, n. 270 “Modifiche al regolamento recante norme concernenti l'autonomia didattica degli atenei, approvato con decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509”;
Artt. 3, 6-7, decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n.509 “Regolamento recante norme concernenti l’autonomia didattica degli atenei”;
Artt. 1, 11-15, decreto del Presidente della Repubblica 10 marzo 1982, n. 162 ""Riordinamento delle scuole dirette a fini speciali, delle scuole di specializzazione e dei corsi di perfezionamento"".
Legge 19 novembre 1990, n. 341  “Riforma degli ordinamenti didattici universitari”;
Decreto del Presidente della Repubblica 11 luglio 1980, n. 382 “Riordinamento della docenza universitaria, relativa fascia di formazione nonché sperimentazione organizzativa e didattica”;
Regio decreto 31 agosto 1933, n. 1592 “Approvazione del testo unico delle leggi sull’istruzione superiore”.
Specifica:
Decreto del Ministro dell’istruzione, dell’università e della ricerca di concerto con il Ministro della salute 4 febbraio 2015 “Riordino  delle  scuole  di  specializzazione  di   area   sanitaria”;
Decreto del Ministro dell’istruzione, dell’università e della ricerca 1° agosto 2005 “Riassetto Scuole di Specializzazione di Area Sanitaria”;
Decreto legislativo 17 agosto 1999, n. 368 “Attuazione della direttiva 93/16/CE in materia di libera circolazione dei medici e di reciproco riconoscimento dei loro diplomi, certificati ed altri titoli e delle direttive 97/50/CE, 98/21/CE, 98/63/CE e 99/46/CE che modificano la direttiva 93/16/CE”.";;;;
CPS_58;1;Scuola di specializzazione - area dei beni culturali;Specialisation School – Cultural Heritage Area;"711.01; 711.02";CTS_7_40_10;"Percorso di formazione post-laurea per l’area dei beni culturali, attivato dalle università italiane ai sensi del d.p.r. 162/1982 e successivamente riorganizzato dalla legge 23 febbraio 2001, n. 29, finalizzato alla formazione di specialisti nelle attività di tutela, gestione e valorizzazione del patrimonio culturale. Il percorso, inizialmente previsto con una durata variabile tra 2 e 3 anni, a seconda del settore disciplinare, è stato successivamente uniformato a 2 anni dal d.m. 31 gennaio 2006 e si articola in lezioni teoriche, attività pratiche, tirocini e una prova finale. Le aree di riferimento sono attualmente articolate in otto tipologie di scuole:
1.	Beni archeologici;
2.	Beni architettonici e del paesaggio;
3.	Beni storico-artistici;
4.	Beni archivistici e librari;
5.	Beni demoetnoantropologici;
6.	Beni musicali;
7.	Beni scientifici e tecnologici;
8.	Beni naturali e territoriali.
L’accesso è riservato a chi ha conseguito una laurea magistrale o un titolo equivalente riconosciuto in settori disciplinari relativi ai beni culturali, specifici per ogni scuola, ed è subordinato al superamento di un concorso pubblico per titoli ed esami.
Per la scuola di specializzazione il d.m. 509/1999 prevede il sistema dei crediti, il titolo rilasciato è il diploma di specializzazione, corredato dal supplemento al diploma europass, una certificazione dell'intero percorso formativo svolto, che garantisce un'alta qualificazione finalizzata all’esercizio di funzioni di elevata responsabilità presso i livelli amministrativi e tecnici del Ministero, di enti locali, in strutture private e nella libera professione.";"Generica:
Artt. 3, 6-7, decreto del Ministro dell’istruzione, dell’università e della ricerca 22 ottobre 2004, n. 270 “Modifiche al regolamento recante norme concernenti l'autonomia didattica degli atenei, approvato con decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509”;
Artt. 3, 6-7, decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n.509 “Regolamento recante norme concernenti l’autonomia didattica degli atenei”;
Artt. 1, 11-15, decreto del Presidente della Repubblica 10 marzo 1982, n. 162 ""Riordinamento delle scuole dirette a fini speciali, delle scuole di specializzazione e dei corsi di perfezionamento"".
Legge 19 novembre 1990, n. 341  “Riforma degli ordinamenti didattici universitari”;
Decreto del Presidente della Repubblica 11 luglio 1980, n. 382 “Riordinamento della docenza universitaria, relativa fascia di formazione nonché sperimentazione organizzativa e didattica”;
Regio decreto 31 agosto 1933, n. 1592 “Approvazione del testo unico delle leggi sull’istruzione superiore”.
Specifica:
Art. 6, legge 23 febbraio 2001, n. 29 ""Nuove disposizioni in materia di interventi per i beni e le attività culturali"";
Decreto del Ministro dell’istruzione, dell’università e della ricerca di concerto con il Ministro per i beni e le attività culturali 31 gennaio 2006 “Riassetto delle Scuole di specializzazione nel settore della tutela, gestione e valorizzazione del patrimonio culturale”.";;;;
CPS_59;1;Scuola di specializzazione - area delle professioni legali;Specialisation School – Legal Professions Area;712.01;CTS_7_40_10;"Percorso di formazione post-laurea per le professioni legali, attivato dalle università ai sensi della legge 127/1997 e disciplinato dal d.lgs. 398/1997 e dal d.m. 537/1999, finalizzato alla formazione di specialisti in ambito giuridico, volto a sviluppare le attitudini e le competenze necessarie per l’accesso alla magistratura ordinaria e per l'esercizio delle professioni di avvocato e notaio. Il percorso, della durata di 2 anni, e si articola in lezioni teoriche, attività pratiche, tirocini e una prova finale. Le aree di riferimento prevedono un primo anno comune a tutti gli specializzandi e un secondo anno suddiviso in due indirizzi:
1.	Indirizzo giudiziario-forense;
2.	Indirizzo notarile.
L’accesso è riservato a chi ha conseguito una laurea magistrale in giurisprudenza o un titolo equivalente riconosciuto ed è subordinato al superamento di un concorso pubblico nazionale per titoli ed esami. Per la scuola di specializzazione il d.m. 509/1999 prevede il sistema dei crediti, il titolo rilasciato è il diploma di specializzazione, corredato dal supplemento al diploma europass, una certificazione dell'intero percorso formativo svolto. La scuola di specializzazione per le professioni legali non è obbligatoria per intraprendere la carriera di avvocato o notaio, ma un’alternativa al praticantato forense o notarile. Con il d.lgs. 149/2022 la scuola di specializzazione non rappresenta più un vincolo di obbligatorietà nemmeno per le procedure concorsuali di magistratura ordinaria, ma solo uno dei possibili requisiti d’accesso.";"Generica:
Artt. 3, 6-7, decreto del Ministro dell’istruzione, dell’università e della ricerca 22 ottobre 2004, n. 270 “Modifiche al regolamento recante norme concernenti l'autonomia didattica degli atenei, approvato con decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509”;
Artt. 3, 6-7, decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n.509 “Regolamento recante norme concernenti l’autonomia didattica degli atenei”;
Artt. 1, 11-15, decreto del Presidente della Repubblica 10 marzo 1982, n. 162 ""Riordinamento delle scuole dirette a fini speciali, delle scuole di specializzazione e dei corsi di perfezionamento"".
Legge 19 novembre 1990, n. 341  “Riforma degli ordinamenti didattici universitari”;
Decreto del Presidente della Repubblica 11 luglio 1980, n. 382 “Riordinamento della docenza universitaria, relativa fascia di formazione nonché sperimentazione organizzativa e didattica”;
Regio decreto 31 agosto 1933, n. 1592 “Approvazione del testo unico delle leggi sull’istruzione superiore”.
Specifica:
Decreto legislativo 10 ottobre 2022, n. 149 “Attuazione della legge 26 novembre 2021, n. 206, recante delega al Governo per l'efficienza del processo civile e per la revisione della disciplina degli strumenti di risoluzione alternativa delle controversie e misure urgenti di razionalizzazione dei procedimenti in materia di diritti delle persone e delle famiglie nonché in materia di esecuzione forzata” (c.d. Riforma Cartabia);
Decreto del Ministro dell'università e della ricerca scientifica e tecnologica, di concerto con il Ministro della giustizia 21 dicembre 1999, n.537 “regolamento recante norme per l'istituzione e l'organizzazione delle scuole di specializzazione per le professioni legali”;
Decreto legislativo 17 novembre 1997, n.398 “Modifica alla disciplina del concorso per uditore giudiziario e norme sulle scuole di specializzazione per le professioni legali, a norma dell'articolo 17, commi 113 e 114, della legge 15 maggio 1997, n. 127”;
Legge 15 maggio 1997, n. 127 “Misure urgenti per lo snellimento dell’attività amministrativa e dei procedimenti di decisione e di controllo”.";;;;
CPS_43;1;ITS Academy  - Istituti tecnologici superiori (triennali);ITS Academy - Higher Technological Institutes (3 years);601.01;CTS_6_10_10;"Percorso di istruzione terziaria non universitaria, attivato presso gli ITS Academy (Istituti tecnologici superiori) nell’ambito del Sistema terziario di istruzione tecnologica superiore istituito dalla legge 99/2022, finalizzato alla formazione di tecnici superiori altamente specializzati nelle seguenti aree tecnologiche strategiche per lo sviluppo economico e la competitività del sistema produttivo:
1. Energia;
2. Mobilità sostenibile e logistica;
3. Chimica e nuove tecnologie della vita;
4. Sistema Agroalimentare;
5. Sistema Casa e ambiente costruito;
6. Meccatronica;
7. Sistema Moda;
8. Servizi alle imprese e agli enti senza fini di lucro;
9. Tecnologie per i beni e le attività artistiche e culturali e per il turismo;
10. Tecnologia dell’informazione, della comunicazione e dei dati.
Al percorso si accede con il possesso del diploma di istruzione secondaria superiore o con il diploma professionale IeFP di tecnico quadriennale o con il Certificato di specializzazione tecnica superiore IFTS, a seguito di prove di accertamento di competenze di base, e si inserisce nel contesto della filiera formativa tecnologico-professionale prevista dalla legge 121/2024.
Il percorso è progettato e gestito da Fondazioni ITS Academy, costituite da istituti scolastici, enti di formazione, università, imprese e centri di ricerca, e ha una durata triennale per un totale di almeno 3.000 ore, con una forte componente laboratoriale e applicativa e almeno il 35% del monte ore svolto in azienda. Al termine del percorso, previo superamento della verifica finale delle competenze, viene rilasciato il Diploma di specializzazione superiore per le tecnologie applicate, corrispondente al livello 6 del Quadro europeo delle qualifiche (EQF), valido su tutto il territorio nazionale e riconosciuto anche in ambito europeo.";"Artt. 1-2, decreto del Ministro dell'istruzione e del merito 20 ottobre 2023 ""Disposizioni concernenti le aree tecnologiche, le figure professionali nazionali di riferimento dei ITS Academy e gli standard minimi delle competenze tecnologiche e tecnico-professionali"";
Art. 5, co. 1, let. b), legge 15 luglio 2022, n. 99 ""Istituzione del Sistema terziario di istruzione tecnologica superiore"";
Legge 8 agosto 2024, n. 121  ""Istituzione della filiera formativa tecnologico-professionale"";
Decreto del Presidente del Consiglio dei ministri 25 gennaio 2008 ""Linee guida per la riorganizzazione del Sistema di istruzione e formazione tecnica superiore e la costituzione degli Istituti tecnici superiori”.";;;;
CPS_44;1;Corso di diploma universitario del vecchio ordinamento;Former system university diploma course;602.01;CTS_6_20_10;Percorso di istruzione universitaria antecedente al d.m. 509/1999, finalizzato al conseguimento del Diploma universitario (DU). L’accesso è subordinato al possesso di un diploma di maturità, spesso a numero programmato con test di ammissione. Il corso ha una durata solitamente triennale, raramente biennale, e si caratterizza per un’impostazione professionalizzante, orientata all’acquisizione di competenze tecniche e operative in ambiti specifici (es. economia aziendale, educazione professionale, ingegneria, turismo, ecc.). Al termine del percorso viene rilasciato un titolo di studio universitario legalmente riconosciuto che consente l’accesso al mondo del lavoro o, in alcuni casi, la prosecuzione degli studi universitari.  Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 2, legge 19 novembre 1990, n. 341  ""Riforma degli ordinamenti didattici universitari"";
Decreto del Ministro dell'istruzione, dell'università e della ricerca, di concerto con il Ministro per la pubblica amministrazione e l'innovazione 9 luglio 2009 ""Equiparazioni tra diplomi di lauree di vecchio ordinamento, lauree specialistiche (LS) ex decreto n. 509/1999 e lauree magistrali (LM) ex decreto n. 270/2004, ai fini della partecipazione ai pubblici concorsi"";
Decreto del Ministro dell'istruzione, dell'università e della ricerca 22 ottobre 2004, n. 270 ""Modifiche al regolamento recante norme concernenti l'autonomia didattica degli atenei, approvato con decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509"";
Decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509 ""Regolamento recante norme concernenti l’autonomia didattica degli atenei"".";;;;
CPS_45;1;Corso di laurea di 1° livello (triennale);First-level degree course (3 years);"603.01; 603.02";CTS_6_30_10;Percorso di istruzione universitaria triennale, appartenente al primo ciclo del sistema universitario italiano riformato ai sensi del d.m. 509/1999 e successivamente dal d.m. 270/2004, finalizzato al conseguimento della Laurea di 1° livello. L’accesso è subordinato al possesso di un diploma di scuola secondaria di secondo grado o di un titolo equivalente riconosciuto e raramente è a numero programmato (ad esempio per le professioni sanitarie). Il corso è strutturato per garantire l’acquisizione di conoscenze di base, metodologiche e professionali in uno specifico ambito disciplinare, con l’obiettivo di assicurare allo studente una adeguata padronanza di contenuti scientifici generali, anche in vista di un eventuale proseguimento degli studi universitari. La durata è di tre anni, per un totale di 180 crediti formativi universitari (CFU), distribuiti in insegnamenti teorici, attività laboratoriali, tirocini e una prova finale. Il titolo rilasciato al termine del percorso è la laurea di 1° livello, che consente l’accesso diretto al mondo del lavoro, l’iscrizione a corsi di laurea magistrale (secondo ciclo) o a master universitari di 1° livello.;"Art. 3, co. 4, decreto del Ministro dell'istruzione, dell'università e della ricerca 22 ottobre 2004, n. 270 ""Modifiche al regolamento recante norme concernenti l'autonomia didattica degli atenei, approvato con decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509"";
Decreto del Ministro dell'università e della ricerca scientifica e tecnologica 3 novembre 1999, n. 509 ""Regolamento recante norme concernenti l’autonomia didattica degli atenei"".";;;;
CPS_46;1;Corso accademico di 1° livello AFAM (triennale);First-level academic AFAM course (3 years);605.01;CTS_6_40_10;Percorso formativo triennale ordinamentale offerto dalle Istituzioni dell’alta formazione artistica, musicale e coreutica (AFAM), appartenente al primo ciclo di istruzione terziaria accademica, finalizzato all’acquisizione di competenze teoriche, tecniche e metodologiche nei settori delle arti visive, della musica, della danza, del teatro e del design. Il corso è strutturato secondo gli ordinamenti didattici approvati dal Ministero dell’università e della ricerca. L’accesso è subordinato al possesso di un diploma di istruzione secondaria di secondo grado o di un titolo equivalente riconosciuto, e può includere prove di verifica attitudinale o di preparazione iniziale. Al termine del percorso è rilasciato il diploma accademico di 1° livello AFAM, titolo equipollente alla laurea triennale universitaria.;"Art. 3, decreto del Presidente della Repubblica 8 luglio 2005, n.212 ""Regolamento recante disciplina per la definizione degli ordinamenti didattici delle Istituzioni di alta formazione artistica, musicale e coreutica, a norma dell'articolo 2 della legge 21 dicembre 1999, n. 508"";
Legge 21 dicembre 1999, n. 508 ""Riforma delle Accademie di belle arti, dell'Accademia nazionale di danza, dell'Accademia nazionale di arte drammatica, degli Istituti superiori per le industrie artistiche, dei Conservatori di musica e degli Istituti musicali pareggiati"".";Corso di diploma accademico di 1° livello (art. 3, d.p.r. 212/2005).;;;
