CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
46.45;Commercio all'ingrosso di profumi e cosmetici;Wholesale of perfume and cosmetics;Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln
46.45.0;Commercio all'ingrosso di profumi e cosmetici;Wholesale of perfume and cosmetics;Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln
46.45.00;Commercio all'ingrosso di profumi e cosmetici;Wholesale of perfume and cosmetics;Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln
46.46;Commercio all'ingrosso di prodotti farmaceutici e medicali;Wholesale of pharmaceutical and medical goods;Großhandel mit pharmazeutischen Erzeugnissen und medizinischen Hilfsmitteln
46.46.1;Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici;Wholesale of basic pharmaceutical products and pharmaceutical preparations;Großhandel mit pharmazeutischen Grundstoffen und Erzeugnissen
46.46.10;Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici;Wholesale of basic pharmaceutical products and pharmaceutical preparations;Großhandel mit pharmazeutischen Grundstoffen und Erzeugnissen
46.46.2;Commercio all'ingrosso di rimedi erboristici;Wholesale of herbal remedies;Großhandel mit Kräuterheilmitteln
46.46.20;Commercio all'ingrosso di rimedi erboristici;Wholesale of herbal remedies;Großhandel mit Kräuterheilmitteln
46.46.3;Commercio all'ingrosso di prodotti medicali e ortopedici;Wholesale of medical and orthopaedic goods;Großhandel mit medizinischen und orthopädischen Erzeugnissen
46.46.31;Commercio all'ingrosso di occhiali e lenti;Wholesale of glasses, sunglasses and lenses;Großhandel mit Brillen und Linsen
46.46.39;Commercio all'ingrosso di prodotti medicali e ortopedici n.c.a.;Wholesale of medical and orthopaedic goods n.e.c.;Großhandel mit medizinischen und orthopädischen Erzeugnissen a. n. g.
46.47;Commercio all'ingrosso di mobili, tappeti e articoli per l'illuminazione per la casa, l'ufficio e i negozi;Wholesale of household, office and shop furniture, carpets and lighting equipment;Großhandel mit Möbeln, Teppichen, Lampen und Leuchten
46.47.1;Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi;Wholesale of household, office and shop furniture;Großhandel mit Möbeln für Haushalt, Büros und Läden
46.47.10;Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi;Wholesale of household, office and shop furniture;Großhandel mit Möbeln für Haushalt, Büros und Läden
46.47.2;Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi;Wholesale of household, office and shop carpets;Großhandel mit Teppichen für Haushalt, Büros und Läden
46.47.20;Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi;Wholesale of household, office and shop carpets;Großhandel mit Teppichen für Haushalt, Büros und Läden
46.47.3;Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi;Wholesale of household, office and shop lighting equipment;Großhandel mit Lampen und Leuchten für Haushalt, Büros und Läden
46.47.30;Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi;Wholesale of household, office and shop lighting equipment;Großhandel mit Lampen und Leuchten für Haushalt, Büros und Läden
46.48;Commercio all'ingrosso di orologi e di gioielleria;Wholesale of watches and jewellery;Großhandel mit Uhren und Schmuck
46.48.0;Commercio all'ingrosso di orologi e di gioielleria;Wholesale of watches and jewellery;Großhandel mit Uhren und Schmuck
46.48.00;Commercio all'ingrosso di orologi e di gioielleria;Wholesale of watches and jewellery;Großhandel mit Uhren und Schmuck
46.49;Commercio all'ingrosso di altri beni di consumo;Wholesale of other household goods;Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern
46.49.1;Commercio all'ingrosso di carta, cartone e articoli di cartoleria;Wholesale of paper, paperboard and stationery;Großhandel mit Waren aus Papier, Pappe und Schreibwaren
46.49.10;Commercio all'ingrosso di carta, cartone e articoli di cartoleria;Wholesale of paper, paperboard and stationery;Großhandel mit Waren aus Papier, Pappe und Schreibwaren
46.49.2;Commercio all'ingrosso di libri, riviste e giornali;Wholesale of books, magazines and newspapers;Großhandel mit Büchern, Zeitschriften und Zeitungen
46.49.21;Commercio all'ingrosso di libri;Wholesale of books;Großhandel mit Büchern
46.49.22;Commercio all'ingrosso di riviste e giornali;Wholesale of magazines and newspapers;Großhandel mit Zeitschriften und Zeitungen
46.49.3;Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini;Wholesale of games, toys and baby equipment;Großhandel mit Spielwaren und Ausstattungen für Kinder
46.49.30;Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini;Wholesale of games, toys and baby equipment;Großhandel mit Spielwaren und Ausstattungen für Kinder
46.49.4;Commercio all'ingrosso di biciclette e altre attrezzature e articoli sportivi;Wholesale of bicycles and other sports goods;Großhandel mit Fahrrädern und anderen Sportausrüstungen und -geräten
46.49.41;Commercio all'ingrosso di biciclette;Wholesale of bicycles;Großhandel mit Fahrrädern
46.49.49;Commercio all'ingrosso di altre attrezzature e articoli sportivi;Wholesale of other sports goods;Großhandel mit anderen Sportausrüstungen und -geräten
46.49.5;Commercio all'ingrosso di articoli in pelle e articoli da viaggio;Wholesale of leather goods and travel accessories;Großhandel mit Lederwaren und Reiseartikeln
46.49.50;Commercio all'ingrosso di articoli in pelle e articoli da viaggio;Wholesale of leather goods and travel accessories;Großhandel mit Lederwaren und Reiseartikeln
46.49.9;Commercio all'ingrosso di altri beni di consumo n.c.a.;Wholesale of other household goods n.e.c.;Großhandel mit anderen Gebrauchs- und Verbrauchsgütern a. n. g.
46.49.91;Commercio all'ingrosso di articoli promozionali;Wholesale in promotional items;Großhandel mit Werbeartikeln
46.49.92;Commercio all'ingrosso di bomboniere;Wholesale of party favours;Großhandel mit Bonbonnieren
46.49.99;Commercio all'ingrosso di altri beni di consumo vari n.c.a.;Wholesale of other various household goods n.e.c.;Großhandel mit allen anderen Gebrauchs- und Verbrauchsgütern a. n. g.
46.5;Commercio all'ingrosso di apparecchiature informatiche e di comunicazione;Wholesale of information and communication equipment;Großhandel mit Geräten der Informations- und Kommunikationstechnik
46.50;Commercio all'ingrosso di apparecchiature informatiche e di comunicazione;Wholesale of information and communication equipment;Großhandel mit Geräten der Informations- und Kommunikationstechnik
46.50.1;Commercio all'ingrosso di computer, unità periferiche e software;Wholesale of computers, computer peripheral equipment and software;Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software
46.50.10;Commercio all'ingrosso di computer, unità periferiche e software;Wholesale of computers, computer peripheral equipment and software;Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software
46.50.2;Commercio all'ingrosso di apparecchiature per telecomunicazioni;Wholesale of telephone and communication equipment;Großhandel mit Geräten der Telekommunikationstechnik
46.50.20;Commercio all'ingrosso di apparecchiature per telecomunicazioni;Wholesale of telephone and communication equipment;Großhandel mit Geräten der Telekommunikationstechnik
46.50.3;Commercio all'ingrosso di altre macchine e attrezzature per ufficio;Wholesale of other office machinery and equipment;Großhandel mit anderen Büromaschinen und -geräten
46.50.30;Commercio all'ingrosso di altre macchine e attrezzature per ufficio;Wholesale of other office machinery and equipment;Großhandel mit anderen Büromaschinen und -geräten
46.6;Commercio all'ingrosso di altri macchinari, attrezzature e forniture;Wholesale of other machinery, equipment and supplies;Großhandel mit sonstigen Maschinen, Ausrüstungen und Zubehör
46.61;Commercio all'ingrosso di macchinari, attrezzature e forniture agricole;Wholesale of agricultural machinery, equipment and supplies;Großhandel mit landwirtschaftlichen Maschinen und Geräten
46.61.0;Commercio all'ingrosso di macchinari, attrezzature e forniture agricole;Wholesale of agricultural machinery, equipment and supplies;Großhandel mit landwirtschaftlichen Maschinen und Geräten
46.61.00;Commercio all'ingrosso di macchinari, attrezzature e forniture agricole;Wholesale of agricultural machinery, equipment and supplies;Großhandel mit landwirtschaftlichen Maschinen und Geräten
46.62;Commercio all'ingrosso di macchine utensili;Wholesale of machine tools;Großhandel mit Werkzeugmaschinen
46.62.0;Commercio all'ingrosso di macchine utensili;Wholesale of machine tools;Großhandel mit Werkzeugmaschinen
46.62.00;Commercio all'ingrosso di macchine utensili;Wholesale of machine tools;Großhandel mit Werkzeugmaschinen
46.63;Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile;Wholesale of mining, construction and civil engineering machinery;Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen
46.63.0;Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile;Wholesale of mining, construction and civil engineering machinery;Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen
46.63.00;Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile;Wholesale of mining, construction and civil engineering machinery;Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen
46.64;Commercio all'ingrosso di altri macchinari e attrezzature;Wholesale of other machinery and equipment;Großhandel mit sonstigen Maschinen und Ausrüstungen
46.64.1;Commercio all'ingrosso di mezzi di trasporto;Wholesale of transport equipment;Großhandel mit Beförderungsmitteln
46.64.11;Commercio all'ingrosso di navi e imbarcazioni;Wholesale of ships and boats;Großhandel mit Schiffen und Booten
46.64.19;Commercio all'ingrosso di altri mezzi di trasporto;Wholesale of other transport equipment;Großhandel mit anderen Beförderungsmitteln
46.64.2;Commercio all'ingrosso di materiale elettrico per impianti industriali;Wholesale of electrical equipment for industrial installations;Großhandel mit Elektromaterial für Industrieanlagen
46.64.20;Commercio all'ingrosso di materiale elettrico per impianti industriali;Wholesale of electrical equipment for industrial installations;Großhandel mit Elektromaterial für Industrieanlagen
46.64.3;Commercio all'ingrosso di attrezzature per parrucchieri, palestre, solarium e centri estetici;Wholesale of equipment for hairdressers, gyms, solariums and beauty centres;Großhandel mit Geräten für Frisörsalons, Turnhallen, Bräunungsstudios und Schönheitszentren
46.64.30;Commercio all'ingrosso di attrezzature per parrucchieri, palestre, solarium e centri estetici;Wholesale of equipment for hairdressers, gyms, solariums and beauty centres;Großhandel mit Geräten für Frisörsalons, Turnhallen, Bräunungsstudios und Schönheitszentren
46.64.4;Commercio all'ingrosso di macchine tessili, per la lavorazione delle pelli e del cuoio, per lavanderie e stirerie;Wholesale of textile, leather and laundry machinery;Großhandel mit Textilmaschinen, Maschinen für die Verarbeitung von Fellen und Häuten, für Wäschereien und Büglereien
46.64.40;Commercio all'ingrosso di macchine tessili, per la lavorazione delle pelli e del cuoio, per lavanderie e stirerie;Wholesale of textile, leather and laundry machinery;Großhandel mit Textilmaschinen, Maschinen für die Verarbeitung von Fellen und Häuten, für Wäschereien und Büglereien
46.64.5;Commercio all'ingrosso di macchinari per l'industria alimentare e delle bevande;Wholesale of machinery for the food and beverages industry;Großhandel mit Maschinen für die Lebensmittel- und Getränkeindustrie
46.64.51;Commercio all'ingrosso di macchine e attrezzature per ristoranti e bar;Wholesale of machinery and equipment for restaurants and bars;Großhandel mit Maschinen und Ausrüstungen für Restaurants und Bars
46.64.59;Commercio all'ingrosso di altri macchinari per l'industria alimentare e delle bevande;Wholesale of other machinery for the food and beverages industry;Großhandel mit anderen Maschinen für die Lebensmittel- und Getränkeindustrie
46.64.6;Commercio all'ingrosso di macchinari e attrezzature per la pulizia;Wholesale of cleaning machines;Großhandel mit Maschinen und Ausrüstungen für die Reinigung
46.64.60;Commercio all'ingrosso di macchinari e attrezzature per la pulizia;Wholesale of cleaning machines;Großhandel mit Maschinen und Ausrüstungen für die Reinigung
46.64.9;Commercio all'ingrosso di altri macchinari e attrezzature n.c.a.;Wholesale of other machinery and equipment n.e.c.;Großhandel mit anderen Maschinen und Ausrüstungen a. n. g.
46.64.91;Commercio all'ingrosso di strumenti e apparecchiature di misurazione;Wholesale of measuring instruments and equipment;Großhandel mit Messinstrumenten und -geräten
46.64.92;Commercio all'ingrosso di attrazioni per parchi divertimento e parchi tematici e videogiochi;Wholesale of attractions for amusement and theme parks and video game machines;Großhandel mit Attraktionen für Vergnügungsparks und Themenparks und mit Computerspielen
46.64.99;Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.;Wholesale of other various machinery and equipment n.e.c.;Großhandel mit sonstigen Maschinen und Ausrüstungen a. n. g.
46.7;Commercio all'ingrosso di autoveicoli, motocicli e relative parti e accessori;Wholesale of motor vehicles, motorcycles and related parts and accessories;Großhandel mit Kraftwagen, Krafträdern, deren Teilen und Zubehör
46.71;Commercio all'ingrosso di autoveicoli;Wholesale of motor vehicles;Großhandel mit Kraftwagen
46.71.1;Commercio all'ingrosso di automobili e autoveicoli leggeri;Wholesale of cars and light motor vehicles;Großhandel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger
46.71.10;Commercio all'ingrosso di automobili e autoveicoli leggeri;Wholesale of cars and light motor vehicles;Großhandel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger
46.71.2;Commercio all'ingrosso di altri autoveicoli;Wholesale of other motor vehicles;Großhandel mit anderen Kraftfahrzeugen
46.71.20;Commercio all'ingrosso di altri autoveicoli;Wholesale of other motor vehicles;Großhandel mit anderen Kraftfahrzeugen
46.72;Commercio all'ingrosso di parti e accessori di autoveicoli;Wholesale of motor vehicle parts and accessories;Großhandel mit Kraftwagenteilen und -zubehör
46.72.0;Commercio all'ingrosso di parti e accessori di autoveicoli;Wholesale of motor vehicle parts and accessories;Großhandel mit Kraftwagenteilen und -zubehör
46.72.00;Commercio all'ingrosso di parti e accessori di autoveicoli;Wholesale of motor vehicle parts and accessories;Großhandel mit Kraftwagenteilen und -zubehör
46.73;Commercio all'ingrosso di motocicli, parti e accessori di motocicli;Wholesale of motorcycles, motorcycle parts and accessories;Großhandel mit Krafträdern, Kraftradteilen und -zubehör
46.73.1;Commercio all'ingrosso di motocicli;Wholesale of motorcycles;Großhandel mit Krafträdern
46.73.10;Commercio all'ingrosso di motocicli;Wholesale of motorcycles;Großhandel mit Krafträdern
46.73.2;Commercio all'ingrosso di parti e accessori di motocicli;Wholesale of motorcycles parts and accessories;Großhandel mit Teilen und Zubehör für Krafträder
46.73.20;Commercio all'ingrosso di parti e accessori di motocicli;Wholesale of motorcycles parts and accessories;Großhandel mit Teilen und Zubehör für Krafträder
46.8;Commercio all'ingrosso specializzato di altri prodotti;Other specialised wholesale;Sonstiger Großhandel
46.81;Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati;Wholesale of solid, liquid and gaseous fuels and related products;Großhandel mit Brennstoffen und Mineralölerzeugnissen
46.81.0;Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati;Wholesale of solid, liquid and gaseous fuels and related products;Großhandel mit Brennstoffen und Mineralölerzeugnissen
46.81.00;Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati;Wholesale of solid, liquid and gaseous fuels and related products;Großhandel mit Brennstoffen und Mineralölerzeugnissen
46.82;Commercio all'ingrosso di metalli e minerali metalliferi;Wholesale of metals and metal ores;Großhandel mit Erzen, Metallen und Metallhalbzeug
46.82.1;Commercio all'ingrosso di metalli e minerali metalliferi ferrosi;Wholesale of ferrous metals and ferrous metal ores;Großhandel mit Erzen, Eisenmetallen und Metallhalbzeug
46.82.10;Commercio all'ingrosso di metalli e minerali metalliferi ferrosi;Wholesale of ferrous metals and ferrous metal ores;Großhandel mit Erzen, Eisenmetallen und Metallhalbzeug
46.82.2;Commercio all'ingrosso di metalli e minerali metalliferi non ferrosi;Wholesale of non-ferrous metals and non-ferrous metal ores;Großhandel mit NE-Metallen und -Metallhalbzeug
46.82.21;Attività di compro oro;Cash-for-gold wholesale activities;Tätigkeiten für den Goldankauf
46.82.29;Commercio all'ingrosso di altri metalli e minerali metalliferi non ferrosi;Wholesale of other non-ferrous metals and non-ferrous metal ores;Großhandel mit anderen NE-Metallen und -Metallhalbzeug
46.83;Commercio all'ingrosso di legname, materiali da costruzione e articoli igienico-sanitari;Wholesale of wood, construction materials and sanitary equipment;Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärausstattung
46.83.1;Commercio all'ingrosso di legname;Wholesale of wood;Großhandel mit Holz
46.83.10;Commercio all'ingrosso di legname;Wholesale of wood;Großhandel mit Holz
46.83.2;Commercio all'ingrosso di materiali da costruzione;Wholesale of construction materials;Großhandel mit Baustoffen
46.83.21;Commercio all'ingrosso di pitture, vernici e lacche;Wholesale of paints, varnishes and lacquers;Großhandel mit Anstrichmitteln, Farben und Lacken
46.83.22;Commercio all'ingrosso di carta da parati e rivestimenti per pavimenti;Wholesale wallpaper and floor coverings;Großhandel mit Tapeten und Fußbodenbelägen
46.83.23;Commercio all'ingrosso di porte, finestre e persiane;Wholesale of doors, windows and shutters;Großhandel mit Türen, Fenstern und Fensterläden
46.83.29;Commercio all'ingrosso di altri materiali da costruzione;Wholesale of other construction materials;Großhandel mit anderen Baustoffen
46.83.3;Commercio all'ingrosso di articoli igienico-sanitari;Wholesale of sanitary equipment;Großhandel mit Sanitärausstattungen
46.83.30;Commercio all'ingrosso di articoli igienico-sanitari;Wholesale of sanitary equipment;Großhandel mit Sanitärausstattungen
46.84;Commercio all'ingrosso di ferramenta, di apparecchi e accessori per impianti idraulici e di riscaldamento;Wholesale of hardware, plumbing and heating equipment and supplies;Großhandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung
46.84.1;Commercio all'ingrosso di ferramenta;Wholesale of hardware equipment and supplies;Großhandel mit Metallwaren
46.84.10;Commercio all'ingrosso di ferramenta;Wholesale of hardware equipment and supplies;Großhandel mit Metallwaren
46.84.2;Commercio all'ingrosso di apparecchi e accessori per impianti idraulici e di riscaldamento;Wholesale of plumbing and heating equipment and supplies;Großhandel mit Geräten und Zubehör für Wasser- und Heizungsanlagen
46.84.20;Commercio all'ingrosso di apparecchi e accessori per impianti idraulici e di riscaldamento;Wholesale of plumbing and heating equipment and supplies;Großhandel mit Geräten und Zubehör für Wasser- und Heizungsanlagen
46.85;Commercio all'ingrosso di prodotti chimici;Wholesale of chemical products;Großhandel mit chemischen Erzeugnissen
46.85.0;Commercio all'ingrosso di prodotti chimici;Wholesale of chemical products;Großhandel mit chemischen Erzeugnissen
46.85.01;Commercio all'ingrosso di fertilizzanti e altri prodotti chimici per l'agricoltura;Wholesale of fertilisers and agrochemical products;Großhandel mit Düngemitteln und anderen chemischen Erzeugnissen für die Landwirtschaft
46.85.02;Commercio all'ingrosso di liquidi per inalazione per sigarette elettroniche;Wholesale of e-liquids for electronic cigarettes;Großhandel mit Inhalationsflüssigkeiten für elektronische Zigaretten
46.85.09;Commercio all'ingrosso di altri prodotti chimici;Wholesale of other chemical products;Großhandel mit sonstigen chemischen Erzeugnissen
46.86;Commercio all'ingrosso di altri prodotti intermedi;Wholesale of other intermediate products;Großhandel mit sonstigen Halbwaren
46.86.1;Commercio all'ingrosso di materie plastiche in forme primarie e gomma;Wholesale of plastic materials in primary forms and rubber;Großhandel mit Kunststoffen in Primärformen und Gummi
46.86.10;Commercio all'ingrosso di materie plastiche in forme primarie e gomma;Wholesale of plastic materials in primary forms and rubber;Großhandel mit Kunststoffen in Primärformen und Gummi
46.86.2;Commercio all'ingrosso di fibre tessili;Wholesale of textile fibres;Großhandel mit Textilfasern
46.86.20;Commercio all'ingrosso di fibre tessili;Wholesale of textile fibres;Großhandel mit Textilfasern
46.86.3;Commercio all'ingrosso di articoli per imballaggio;Wholesale of packaging articles;Großhandel mit Verpackungsmitteln
46.86.30;Commercio all'ingrosso di articoli per imballaggio;Wholesale of packaging articles;Großhandel mit Verpackungsmitteln
46.86.9;Commercio all'ingrosso di altri prodotti intermedi n.c.a.;Wholesale of other intermediate products n.e.c.;Großhandel mit sonstigen Halbwaren a. n. g.
46.86.90;Commercio all'ingrosso di altri prodotti intermedi n.c.a.;Wholesale of other intermediate products n.e.c.;Großhandel mit sonstigen Halbwaren a. n. g.
46.87;Commercio all'ingrosso di rottami e cascami;Wholesale of waste and scrap;Großhandel mit Altmaterialien und Reststoffen
46.87.1;Commercio all'ingrosso di rottami e cascami metallici;Wholesale of metal waste and scrap;Großhandel mit Altmetall und Metallabfällen
46.87.10;Commercio all'ingrosso di rottami e cascami metallici;Wholesale of metal waste and scrap;Großhandel mit Altmetall und Metallabfällen
46.87.9;Commercio all'ingrosso di altri rottami e cascami;Wholesale of other waste and scrap;Großhandel mit sonstigen Altmaterialien und Reststoffen
46.87.90;Commercio all'ingrosso di altri rottami e cascami;Wholesale of other waste and scrap;Großhandel mit sonstigen Altmaterialien und Reststoffen
46.89;Commercio all'ingrosso specializzato di altri prodotti n.c.a.;Other specialised wholesale n.e.c.;Sonstiger Großhandel a. n. g.
46.89.0;Commercio all'ingrosso specializzato di altri prodotti n.c.a.;Other specialised wholesale n.e.c.;Sonstiger Großhandel a. n. g.
46.89.00;Commercio all'ingrosso specializzato di altri prodotti n.c.a.;Other specialised wholesale n.e.c.;Sonstiger Großhandel a. n. g.
46.9;Commercio all'ingrosso non specializzato;Non-specialised wholesale trade;Großhandel ohne ausgeprägten Schwerpunkt
46.90;Commercio all'ingrosso non specializzato;Non-specialised wholesale trade;Großhandel ohne ausgeprägten Schwerpunkt
46.90.0;Commercio all'ingrosso non specializzato;Non-specialised wholesale trade;Großhandel ohne ausgeprägten Schwerpunkt
46.90.00;Commercio all'ingrosso non specializzato;Non-specialised wholesale trade;Großhandel ohne ausgeprägten Schwerpunkt
47;Commercio al dettaglio;Retail trade;Einzelhandel
47.1;Commercio al dettaglio non specializzato;Non-specialised retail sale;Einzelhandel mit Waren verschiedener Art
47.11;Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari, bevande o tabacchi;Non-specialised retail sale of predominately food, beverages or tobacco;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel
47.11.0;Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari, bevande o tabacchi;Non-specialised retail sale of predominately food, beverages or tobacco;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel
47.11.01;Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari surgelati;Non-specialised retail sale of predominately frozen food;Einzelhandel mit Waren verschiedener Art, Hauptrichtung tiefgekühlte Nahrungsmittel
47.11.02;Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi;Non-specialised retail sale of predominately non-frozen food, beverages and tobacco;Einzelhandel mit Waren verschiedener Art, Hauptrichtung andere Nahrungs- und Genussmittel, Getränke oder Tabakwaren
47.12;Commercio al dettaglio non specializzato di altri prodotti;Other non-specialised retail sale;Sonstiger Einzelhandel mit Waren verschiedener Art
47.12.1;Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed elettrodomestici;Non-specialised retail sale of predominately information equipment and electrical household appliances;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Geräte der Informationstechnik und Haushaltsgeräte
47.12.10;Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed elettrodomestici;Non-specialised retail sale of predominately information equipment and electrical household appliances;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Geräte der Informationstechnik und Haushaltsgeräte
47.12.2;Commercio al dettaglio non specializzato con prevalenza di mobili e articoli per uso domestico;Non-specialised retail sale of predominately furniture and household goods;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Möbel und Waren für den Haushalt
47.12.20;Commercio al dettaglio non specializzato con prevalenza di mobili e articoli per uso domestico;Non-specialised retail sale of predominately furniture and household goods;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Möbel und Waren für den Haushalt
47.12.3;Commercio al dettaglio non specializzato con prevalenza di ferramenta, materiali da costruzione e piante;Non-specialised retail sale of predominately hardware, building materials and plants;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Eisen- und Metallwaren, Baustoffe und Anstrichmittel und Pflanzen
47.12.30;Commercio al dettaglio non specializzato con prevalenza di ferramenta, materiali da costruzione e piante;Non-specialised retail sale of predominately hardware, building materials and plants;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Eisen- und Metallwaren, Baustoffe und Anstrichmittel und Pflanzen
47.12.4;Commercio al dettaglio non specializzato con prevalenza di cosmetici, articoli di profumeria e detersivi, articoli di cancelleria e giochi;Non-specialised retail sale of predominately cosmetic articles, toilet articles and detergents, stationery and games;Einzelhandel mit Waren verschiedener Art, Hauptrichtung kosmetische Produkte, Körperpflege- und Waschmittel, Schreib- und Spielwaren
47.12.40;Commercio al dettaglio non specializzato con prevalenza di cosmetici, articoli di profumeria e detersivi, articoli di cancelleria e giochi;Non-specialised retail sale of predominately cosmetic articles, toilet articles and detergents, stationery and games;Einzelhandel mit Waren verschiedener Art, Hauptrichtung kosmetische Produkte, Körperpflege- und Waschmittel, Schreib- und Spielwaren
47.12.5;Commercio al dettaglio non specializzato con prevalenza di articoli di abbigliamento e calzature;Non-specialised retail sale of predominately clothing and footwear;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Bekleidung und Schuhe
47.12.50;Commercio al dettaglio non specializzato con prevalenza di articoli di abbigliamento e calzature;Non-specialised retail sale of predominately clothing and footwear;Einzelhandel mit Waren verschiedener Art, Hauptrichtung Bekleidung und Schuhe
47.12.9;Commercio al dettaglio non specializzato di altri prodotti n.c.a.;Other non-specialised retail sale n.e.c.;Einzelhandel mit anderen Waren verschiedener Art a. n. g.
47.12.90;Commercio al dettaglio non specializzato di altri prodotti n.c.a.;Other non-specialised retail sale n.e.c.;Einzelhandel mit anderen Waren verschiedener Art a. n. g.
47.2;Commercio al dettaglio di prodotti alimentari, bevande e tabacchi;Retail sale of food, beverages and tobacco;Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren
47.21;Commercio al dettaglio di frutta e verdura;Retail sale of fruit and vegetables;Einzelhandel mit Obst, Gemüse und Kartoffeln
47.21.0;Commercio al dettaglio di frutta e verdura;Retail sale of fruit and vegetables;Einzelhandel mit Obst, Gemüse und Kartoffeln
47.21.01;Commercio al dettaglio di frutta e verdura fresca;Retail sale of fresh fruit and vegetables;Einzelhandel mit frischem Obst und Gemüse
47.21.02;Commercio al dettaglio di frutta e verdura secca e conservata;Retail sale of dried and preserved fruit and vegetables;Einzelhandel mit getrocknetem und konserviertem Obst und Gemüse
47.22;Commercio al dettaglio di carne e di prodotti a base di carne;Retail sale of meat and meat products;Einzelhandel mit Fleisch und Fleischwaren
47.22.0;Commercio al dettaglio di carne e di prodotti a base di carne;Retail sale of meat and meat products;Einzelhandel mit Fleisch und Fleischwaren
47.22.00;Commercio al dettaglio di carne e di prodotti a base di carne;Retail sale of meat and meat products;Einzelhandel mit Fleisch und Fleischwaren
47.23;Commercio al dettaglio di pesce, crostacei e molluschi;Retail sale of fish, crustaceans and molluscs;Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen
47.23.0;Commercio al dettaglio di pesce, crostacei e molluschi;Retail sale of fish, crustaceans and molluscs;Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen
47.23.00;Commercio al dettaglio di pesce, crostacei e molluschi;Retail sale of fish, crustaceans and molluscs;Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen
47.24;Commercio al dettaglio di pane, pasticceria e dolciumi;Retail sale of bread, cake and confectionery;Einzelhandel mit Back- und Süßwaren
47.24.1;Commercio al dettaglio di pane;Retail sale of bread;Einzelhandel mit Brotwaren
47.24.10;Commercio al dettaglio di pane;Retail sale of bread;Einzelhandel mit Brotwaren
47.24.2;Commercio al dettaglio di pasticceria e dolciumi;Retail sale of cake and confectionery;Einzelhandel mit Konditor- und Süßwaren
47.24.20;Commercio al dettaglio di pasticceria e dolciumi;Retail sale of cake and confectionery;Einzelhandel mit Konditor- und Süßwaren
47.25;Commercio al dettaglio di bevande;Retail sale of beverages;Einzelhandel mit Getränken
47.25.0;Commercio al dettaglio di bevande;Retail sale of beverages;Einzelhandel mit Getränken
